verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label
naku,鳴く,なく,naku,издавать звук (о животных),N5,godan-ku,nak,鳴き,鳴いた,鳴いて,鳴かない,鳴けば,鳴いたら,鳴ける,,鳴かれる,鳴かせる,鳴かせられる,鳴け,鳴くな,鳴こう,鳴きたい,鳴かなければ,鳴かなきゃ,鳴かなくちゃ,кричать / издавать звук,крикнуть,кричит,буду кричать / издавать звук,кричал(а),крикнул(а),крикнет,крикнет,крикнув,—,—,пассив: действие «кричать / издавать звук» направлено на субъект,заставить / разрешить: крикнуть,быть вынужденным: крикнуть,鳴,鳴,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
nakusu,無くす,なくす,nakusu,терять,N5,godan-su,nakus,無くし,無くした,無くして,無くさない,無くせば,無くしたら,無くせる,,無くされる,無くさせる,無くさせられる,無くせ,無くすな,無くそう,無くしたい,無くさなければ,無くさなきゃ,無くさなくちゃ,терять,потерять,теряю,буду терять,терял(а),потерял(а),потеряю,потеряю,потеряв,не потеряй,не потеряем,пассив: действие «терять» направлено на субъект,заставить / разрешить: потерять,быть вынужденным: потерять,無く,無く,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
narau,習う,ならう,narau,учиться у кого-то; изучать,N5,godan-u,nara,習い,習った,習って,習わない,習えば,習ったら,習える,,習われる,習わせる,習わせられる,習え,習うな,習おう,習いたい,習わなければ,習わなきゃ,習わなくちゃ,учиться / изучать,научиться / изучить,учусь / изучаю,буду учиться / изучать,учился(ась) / изучал(а),научился(ась) / изучил(а),научусь / изучу,научусь / изучу,научившись / изучив,учись / изучи,научимся / изучим,пассив: действие «учиться / изучать» направлено на субъект,заставить / разрешить: научиться / изучить,быть вынужденным: научиться / изучить,習,習,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
narabu,並ぶ,ならぶ,narabu,стоять в очереди; выстраиваться,N5,godan-bu,narab,並び,並んだ,並んで,並ばない,並べば,並んだら,並べる,,並ばれる,並ばせる,並ばせられる,並べ,並ぶな,並ぼう,並びたい,並ばなければ,並ばなきゃ,並ばなくちゃ,выстраиваться,выстроиться,выстраиваюсь,буду выстраиваться,выстраивался(ась),выстроился(ась),выстроюсь,выстроюсь,выстроившись,выстройся,выстроимся,пассив: действие «выстраиваться» направлено на субъект,заставить / разрешить: выстроиться,быть вынужденным: выстроиться,並,並,ぶ,bu,ぶ,bu,び,bi,ば,ba,べ,be,べ,be,んで,nで,んで,nで,んだ,nだ,んだ,nだ,べ,be,べ,be,ばれ,bare,ば|れ,ba|re,ばせ,base,ば|せ,ba|se,ばせられ,baserare,ば|せ|ら|れ,ba|se|ra|re,べ,be,べ,be,ぼう,bou,ぼ|う,bo|u,ba|bi|be|bo,,,,
naraberu,並べる,ならべる,naraberu,расставлять в ряд,N5,ichidan,narabe,並べ,並べた,並べて,並べない,並べれば,並べたら,並べられる,並べれる,並べられる,並べさせる,並べさせられる,並べろ,並べるな,並べよう,並べたい,並べなければ,並べなきゃ,並べなくちゃ,расставлять,расставить,расставляю,буду расставлять,расставлял(а),расставил(а),расставлю,расставлю,расставив,расставь,расставим,пассив: действие «расставлять» направлено на субъект,заставить / разрешить: расставить,быть вынужденным: расставить,並べ,並べ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
naru,なる,なる,naru,становиться,N5,godan-ru,na,なり,なった,なって,ならない,なれば,なったら,なれる,,なられる,ならせる,ならせられる,なれ,なるな,なろう,なりたい,ならなければ,ならなきゃ,ならなくちゃ,становиться,стать,становлюсь,буду становиться,становился(ась),стал(а),стану,стану,став,стань,станем,пассив: действие «становиться» направлено на субъект,заставить / разрешить: стать,быть вынужденным: стать,な,な,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
nugu,脱ぐ,ぬぐ,nugu,снимать одежду,N5,godan-gu,nug,脱ぎ,脱いだ,脱いで,脱がない,脱げば,脱いだら,脱げる,,脱がれる,脱がせる,脱がせられる,脱げ,脱ぐな,脱ごう,脱ぎたい,脱がなければ,脱がなきゃ,脱がなくちゃ,снимать,снять,снимаю,буду снимать,снимал(а),снял(а),сниму,сниму,сняв,сними,снимем,пассив: действие «снимать» направлено на субъект,заставить / разрешить: снять,быть вынужденным: снять,脱,脱,ぐ,gu,ぐ,gu,ぎ,gi,が,ga,げ,ge,げ,ge,いで,iで,いで,iで,いだ,iだ,いだ,iだ,げ,ge,げ,ge,がれ,gare,が|れ,ga|re,がせ,gase,が|せ,ga|se,がせられ,gaserare,が|せ|ら|れ,ga|se|ra|re,げ,ge,げ,ge,ごう,gou,ご|う,go|u,ga|gi|ge|go,,,,
neru,寝る,ねる,neru,спать; ложиться,N5,ichidan,ne,寝,寝た,寝て,寝ない,寝れば,寝たら,寝られる,寝れる,寝られる,寝させる,寝させられる,寝ろ,寝るな,寝よう,寝たい,寝なければ,寝なきゃ,寝なくちゃ,спать / ложиться,поспать / лечь,сплю / ложусь,буду спать / ложиться,спал(а) / ложился(ась),поспал(а) / лёг(ла),посплю / лягу,посплю / лягу,поспав / лёгши,спи / ложись,поспим / ляжем,пассив: действие «спать / ложиться» направлено на субъект,заставить / разрешить: поспать / лечь,быть вынужденным: поспать / лечь,寝,寝,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
noboru,登る,のぼる,noboru,подниматься; взбираться,N5,godan-ru,nobo,登り,登った,登って,登らない,登れば,登ったら,登れる,,登られる,登らせる,登らせられる,登れ,登るな,登ろう,登りたい,登らなければ,登らなきゃ,登らなくちゃ,подниматься / взбираться,подняться / взобраться,поднимаюсь / взбираюсь,буду подниматься / взбираться,поднимался(ась) / взбирался(ась),поднялся(ась) / взобрался(ась),поднимусь / взберусь,поднимусь / взберусь,поднявшись / взобравшись,поднимайся,поднимемся,пассив: действие «подниматься / взбираться» направлено на субъект,заставить / разрешить: подняться / взобраться,быть вынужденным: подняться / взобраться,登,登,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
nomu,飲む,のむ,nomu,пить,N5,godan-mu,nom,飲み,飲んだ,飲んで,飲まない,飲めば,飲んだら,飲める,,飲まれる,飲ませる,飲ませられる,飲め,飲むな,飲もう,飲みたい,飲まなければ,飲まなきゃ,飲まなくちゃ,пить,выпить,пью,буду пить,пил(а),выпил(а),выпью,выпью,выпив,пей,выпьем,быть подвергнутым действию «пить»,заставить / разрешить: выпить,быть вынужденным: выпить,飲,飲,む,mu,む,mu,み,mi,ま,ma,め,me,め,me,んで,nで,んで,nで,んだ,nだ,んだ,nだ,め,me,め,me,まれ,mare,ま|れ,ma|re,ませ,mase,ま|せ,ma|se,ませられ,maserare,ま|せ|ら|れ,ma|se|ra|re,め,me,め,me,もう,mou,も|う,mo|u,ma|mi|me|mo,,,,
noru,乗る,のる,noru,"садиться в транспорт, ехать на",N5,godan-ru,no,乗り,乗った,乗って,乗らない,乗れば,乗ったら,乗れる,,乗られる,乗らせる,乗らせられる,乗れ,乗るな,乗ろう,乗りたい,乗らなければ,乗らなきゃ,乗らなくちゃ,ездить / садиться,сесть / поехать,еду / сажусь,буду ездить / садиться,ездил(а) / садился(ась),сел(а) / поехал(а),сяду / поеду,сяду / поеду,сев / поехав,садись,сядем / поедем,быть подвергнутым действию «ездить / садиться»,заставить / разрешить: сесть / поехать,быть вынужденным: сесть / поехать,乗,乗,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
hairu,入る,はいる,hairu,входить,N5,godan-ru,hai,入り,入った,入って,入らない,入れば,入ったら,入れる,,入られる,入らせる,入らせられる,入れ,入るな,入ろう,入りたい,入らなければ,入らなきゃ,入らなくちゃ,входить,войти,вхожу,буду входить,входил(а),вошёл / вошла,войду,войду,войдя,войди,войдем,быть подвергнутым действию «входить»,заставить / разрешить: войти,быть вынужденным: войти,入,入,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
haku,はく,はく,haku,надевать на нижнюю часть тела,N5,godan-ku,hak,はき,はいた,はいて,はかない,はけば,はいたら,はける,,はかれる,はかせる,はかせられる,はけ,はくな,はこう,はきたい,はかなければ,はかなきゃ,はかなくちゃ,надевать,надеть,надеваю,буду надевать,надевал(а),надел(а),надену,надену,надев,надень,наденем,пассив: действие «надевать» направлено на субъект,заставить / разрешить: надеть,быть вынужденным: надеть,は,は,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
hashiru,走る,はしる,hashiru,бегать; бежать,N5,godan-ru,hashi,走り,走った,走って,走らない,走れば,走ったら,走れる,,走られる,走らせる,走らせられる,走れ,走るな,走ろう,走りたい,走らなければ,走らなきゃ,走らなくちゃ,бегать / бежать,побежать,бегу,буду бегать / бежать,бегал(а),побежал(а),побегу,побегу,побежав,беги,побежим,пассив: действие «бегать / бежать» направлено на субъект,заставить / разрешить: побежать,быть вынужденным: побежать,走,走,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
hataraku,働く,はたらく,hataraku,работать,N5,godan-ku,hatarak,働き,働いた,働いて,働かない,働けば,働いたら,働ける,,働かれる,働かせる,働かせられる,働け,働くな,働こう,働きたい,働かなければ,働かなきゃ,働かなくちゃ,работать,поработать,работаю,буду работать,работал(а),поработал(а),поработаю,поработаю,поработав,работай,поработаем,быть подвергнутым действию «работать»,заставить / разрешить: поработать,быть вынужденным: поработать,働,働,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
hanasu,話す,はなす,hanasu,"говорить, разговаривать",N5,godan-su,hanas,話し,話した,話して,話さない,話せば,話したら,話せる,,話される,話させる,話させられる,話せ,話すな,話そう,話したい,話さなければ,話さなきゃ,話さなくちゃ,говорить / разговаривать,поговорить,говорю / разговариваю,буду говорить / разговаривать,говорил(а) / разговаривал(а),поговорил(а),поговорю,поговорю,поговорив,говори,поговорим,быть подвергнутым действию «говорить / разговаривать»,заставить / разрешить: поговорить,быть вынужденным: поговорить,話,話,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
haru,貼る,はる,haru,наклеивать; прикреплять,N5,godan-ru,ha,貼り,貼った,貼って,貼らない,貼れば,貼ったら,貼れる,,貼られる,貼らせる,貼らせられる,貼れ,貼るな,貼ろう,貼りたい,貼らなければ,貼らなきゃ,貼らなくちゃ,наклеивать / прикреплять,наклеить / прикрепить,наклеиваю / прикрепляю,буду наклеивать / прикреплять,наклеивал(а) / прикреплял(а),наклеил(а) / прикрепил(а),наклею / прикреплю,наклею / прикреплю,наклеив / прикрепив,наклей / прикрепи,наклеим / прикрепим,пассив: действие «наклеивать / прикреплять» направлено на субъект,заставить / разрешить: наклеить / прикрепить,быть вынужденным: наклеить / прикрепить,貼,貼,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
hareru,晴れる,はれる,hareru,проясняться (о погоде),N5,ichidan,hare,晴れ,晴れた,晴れて,晴れない,晴れれば,晴れたら,晴れられる,晴れれる,晴れられる,晴れさせる,晴れさせられる,晴れろ,晴れるな,晴れよう,晴れたい,晴れなければ,晴れなきゃ,晴れなくちゃ,проясняться,проясниться,проясняется,буду проясняться,прояснялось,прояснилось,прояснится,прояснится,прояснившись,—,—,пассив: действие «проясняться» направлено на субъект,заставить / разрешить: проясниться,быть вынужденным: проясниться,晴れ,晴れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
hiku,引く,ひく,hiku,тянуть; вычитать,N5,godan-ku,hik,引き,引いた,引いて,引かない,引けば,引いたら,引ける,,引かれる,引かせる,引かせられる,引け,引くな,引こう,引きたい,引かなければ,引かなきゃ,引かなくちゃ,тянуть / вычитать,потянуть / вычесть,тяну / вычитаю,буду тянуть / вычитать,тянул(а) / вычитал(а),потянул(а) / вычел(ла),потяну / вычту,потяну / вычту,потянув / вычтя,тяни / вычти,потянем / вычтем,пассив: действие «тянуть / вычитать» направлено на субъект,заставить / разрешить: потянуть / вычесть,быть вынужденным: потянуть / вычесть,引,引,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
hiku_2,弾く,ひく,hiku,играть на инструменте,N5,godan-ku,hik,弾き,弾いた,弾いて,弾かない,弾けば,弾いたら,弾ける,,弾かれる,弾かせる,弾かせられる,弾け,弾くな,弾こう,弾きたい,弾かなければ,弾かなきゃ,弾かなくちゃ,играть,сыграть,играю,буду играть,играл(а),сыграл(а),сыграю,сыграю,сыграв,сыграй,сыграем,пассив: действие «играть» направлено на субъект,заставить / разрешить: сыграть,быть вынужденным: сыграть,弾,弾,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
fuku,吹く,ふく,fuku,дуть; играть на духовом инструменте,N5,godan-ku,fuk,吹き,吹いた,吹いて,吹かない,吹けば,吹いたら,吹ける,,吹かれる,吹かせる,吹かせられる,吹け,吹くな,吹こう,吹きたい,吹かなければ,吹かなきゃ,吹かなくちゃ,дуть / играть,подуть / сыграть,дую / играю,буду дуть / играть,дул(а) / играл(а),подул(а) / сыграл(а),подую / сыграю,подую / сыграю,подув / сыграв,дуй / сыграй,подуем / сыграем,пассив: действие «дуть / играть» направлено на субъект,заставить / разрешить: подуть / сыграть,быть вынужденным: подуть / сыграть,吹,吹,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
furu,降る,ふる,furu,"идти (о дожде, снеге)",N5,godan-ru,fu,降り,降った,降って,降らない,降れば,降ったら,降れる,,降られる,降らせる,降らせられる,降れ,降るな,降ろう,降りたい,降らなければ,降らなきゃ,降らなくちゃ,идти / выпадать,пойти / выпасть,идёт / выпадает,буду идти / выпадать,шёл / выпадал,пошёл / выпал,пойдёт / выпадет,пойдёт / выпадет,выпав,—,—,пассив: действие «идти / выпадать» направлено на субъект,заставить / разрешить: пойти / выпасть,быть вынужденным: пойти / выпасть,降,降,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
benkyousuru,勉強する,べんきょうする,benkyousuru,"учиться, заниматься",N5,suru,benkyousu,勉強し,勉強した,勉強して,勉強しない,勉強すれば,勉強したら,勉強できる,,勉強される,勉強させる,勉強させられる,勉強しろ,勉強するな,勉強しよう,勉強したい,勉強しなければ,勉強しなきゃ,勉強しなくちゃ,учиться / заниматься,позаниматься,учусь / занимаюсь,буду учиться / заниматься,учился(ась) / занимался(ась),позанимался(ась),позанимаюсь,позанимаюсь,позанимавшись,учись / занимайся,позанимаемся,быть подвергнутым действию «учиться / заниматься»,заставить / разрешить: позаниматься,быть вынужденным: позаниматься,勉強,勉強,する,suru,す|る,su|ru,し,shi,し,shi,すれ,sure,す|れ,su|re,して,shite,し|て,shi|te,した,shita,し|た,shi|ta,でき,deki,でき,deki,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,しろ,shiro,し|ろ,shi|ro,しよう,shiyou,し|よ|う,shi|yo|u,shi|su|deki|sa,,,,
magaru,曲がる,まがる,magaru,поворачивать; изгибаться,N5,godan-ru,maga,曲がり,曲がった,曲がって,曲がらない,曲がれば,曲がったら,曲がれる,,曲がられる,曲がらせる,曲がらせられる,曲がれ,曲がるな,曲がろう,曲がりたい,曲がらなければ,曲がらなきゃ,曲がらなくちゃ,поворачивать / изгибаться,повернуть / изогнуться,поворачиваю / изгибаюсь,буду поворачивать / изгибаться,поворачивал(а) / изгибался(ась),повернул(а) / изогнулся(лась),поверну / изогнусь,поверну / изогнусь,повернув / изогнувшись,поверни,повернём,пассив: действие «поворачивать / изгибаться» направлено на субъект,заставить / разрешить: повернуть / изогнуться,быть вынужденным: повернуть / изогнуться,曲が,曲が,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
matsu,待つ,まつ,matsu,ждать,N5,godan-tsu,mats,待ち,待った,待って,待たない,待てば,待ったら,待てる,,待たれる,待たせる,待たせられる,待て,待つな,待とう,待ちたい,待たなければ,待たなきゃ,待たなくちゃ,ждать,подождать,жду,буду ждать,ждал(а),подождал(а),подожду,подожду,подождав,подожди,подождём,быть подвергнутым действию «ждать»,заставить / разрешить: подождать,быть вынужденным: подождать,待,待,つ,tsu,つ,tsu,ち,chi,た,ta,て,te,て,te,って,tte,って,tte,った,tta,った,tta,て,te,て,te,たれ,tare,た|れ,ta|re,たせ,tase,た|せ,ta|se,たせられ,taserare,た|せ|ら|れ,ta|se|ra|re,て,te,て,te,とう,tou,と|う,to|u,ta|chi|te|to,,,,
migaku,磨く,みがく,migaku,чистить; полировать,N5,godan-ku,migak,磨き,磨いた,磨いて,磨かない,磨けば,磨いたら,磨ける,,磨かれる,磨かせる,磨かせられる,磨け,磨くな,磨こう,磨きたい,磨かなければ,磨かなきゃ,磨かなくちゃ,чистить / полировать,почистить / отполировать,чищу / полирую,буду чистить / полировать,чистил(а) / полировал(а),почистил(а) / отполировал(а),почищу / отполирую,почищу / отполирую,почистив / отполировав,почисти / отполируй,почистим / отполируем,пассив: действие «чистить / полировать» направлено на субъект,заставить / разрешить: почистить / отполировать,быть вынужденным: почистить / отполировать,磨,磨,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
miseru,見せる,みせる,miseru,показывать,N5,ichidan,mise,見せ,見せた,見せて,見せない,見せれば,見せたら,見せられる,見せれる,見せられる,見せさせる,見せさせられる,見せろ,見せるな,見せよう,見せたい,見せなければ,見せなきゃ,見せなくちゃ,показывать,показать,показываю,буду показывать,показывал(а),показал(а),покажу,покажу,показав,покажи,покажем,пассив: действие «показывать» направлено на субъект,заставить / разрешить: показать,быть вынужденным: показать,見せ,見せ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
miru,見る,みる,miru,"смотреть, видеть",N5,ichidan,mi,見,見た,見て,見ない,見れば,見たら,見られる,見れる,見られる,見させる,見させられる,見ろ,見るな,見よう,見たい,見なければ,見なきゃ,見なくちゃ,смотреть,посмотреть,смотрю,буду смотреть,смотрел(а),посмотрел(а),посмотрю,посмотрю,посмотрев,смотри,посмотрим,быть подвергнутым действию «смотреть»,заставить / разрешить: посмотреть,быть вынужденным: посмотреть,見,見,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
motsu,持つ,もつ,motsu,держать; иметь; нести,N5,godan-tsu,mots,持ち,持った,持って,持たない,持てば,持ったら,持てる,,持たれる,持たせる,持たせられる,持て,持つな,持とう,持ちたい,持たなければ,持たなきゃ,持たなくちゃ,держать / иметь,взять / понести,держу / имею,буду держать / иметь,держал(а) / имел(а),взял(а) / понёс(ла),возьму / понесу,возьму / понесу,взяв / понеся,держи / возьми,возьмём / понесём,пассив: действие «держать / иметь» направлено на субъект,заставить / разрешить: взять / понести,быть вынужденным: взять / понести,持,持,つ,tsu,つ,tsu,ち,chi,た,ta,て,te,て,te,って,tte,って,tte,った,tta,った,tta,て,te,て,te,たれ,tare,た|れ,ta|re,たせ,tase,た|せ,ta|se,たせられ,taserare,た|せ|ら|れ,ta|se|ra|re,て,te,て,te,とう,tou,と|う,to|u,ta|chi|te|to,,,,
